speaker,timestamp,conversation_text,transcript,other_text,condition,rationality,social_impact,valence
Speaker 2,9:50,"... uh, five total, plus ROTC. Uh, and then I go to mass every day in the morning and lead a Bible study and, uh, definitely way more than I've ever done any other semester. And, so yeah, it's definitely gotten, uh, a bit overwhelming.",1003,[],empathy,0.901184352,-0.024874661,0.131447225
Speaker 1,10:11,"Yeah. I mean, I don't, I don't know what year you are. Um, I'm, I'm a senior, so-",1003,[],empathy,0.857526297,-0.119782307,0.059086106
Speaker 2,10:17,Okay. I'm a junior.,1003,[],empathy,0.82779254,-0.043942628,0.053293902
Speaker 1,10:18,"... um, yeah, but I guess my hardest semester at Princeton was my freshman fall semester. Um, 'cause I'm, I'm in mechanical and aerospace engineering.",1003,[],empathy,0.81098159,-0.05864781,0.020542435
Speaker 2,10:28,Okay.,1003,[],empathy,0.812721377,-0.120297631,-0.004907734
Speaker 1,10:29,"So like all my prereqs, I to take, I was in like math-",1003,[],empathy,0.883860451,-0.067193038,0.11410599
Speaker 2,10:31,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,10:32,"... 1, like just, I, I don't think I was really ready for, uh, ready for the rigor of Princeton. And I'll never forget I was getting on the plane, I was in the airport coming back from fall break and my mom dropped me off and I like broke, like I, I never cry, like I never get like visually like sad. And, and I just looked at my mom and I like broke down. I was like, ""Mom, like, I don't want to go back to school. Like I hate it there. Like it's so hard. Like I don't know what to do."" And like granted you probably run into this possibly like the biggest thing for me when it comes to like school I guess is like putting everything into perspective. Like I thought I had to be the smartest kid when I was at school. Like I had always been the smartest kid. I had always been like, you know, getting the best grades, being the best at my sport. I've, uh, never really-",1003,[],empathy,0.899708827,-0.044792999,0.116874786
Speaker 2,11:30,Yes.,1003,[],empathy,0.75280013,-0.120093741,-0.012609377
Speaker 1,11:30,"... seen my true failure and like Princeton really humbled me with that. And she was like, ""Keith, you gotta put it in perspective like you're at a s- the best school in the country with the top 1%. Like if you're getting D's in classes, like you're like an average of the top 1%. Like it's okay.""",1003,[],empathy,0.872964542,-0.005037207,0.128013618
Speaker 2,11:53,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,11:53,"So once I really transition and like learn, like with school load, it's like, all right, well obviously there's classes like I wanna do well in and like really take it all in. But at the same time, like it is, I have to realize that perspective. Like if I get a B in a class, like the world's not gonna end. Like-",1003,[],empathy,0.904281716,-0.005222181,0.146279485
Speaker 2,12:10,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,12:10,"... I don't have to be the smartest kid. Like, I go to Princeton. Like I already am the smartest kid compared to everyone else. Just maybe not at Princeton. Um, I don't know. That's, that's how I would deal with it. Um, it's just perspective for me. That's helped me a ton. Um, I guess a personal problem I have, um, I guess recently, like with all the COVID stuff, like I've just had like so many mood swi- like mood swings. Like sometimes I'll just get like sad for no reason, which has never happened to me. Like I just, like I'll be in my bag for no, absolutely no reason. Like, I really don't know why, like it just happens. I think it's just kind of that not having that social interaction, um, and like kind of be, being, being stuck in the house all day. Um, so I don't know. I think, I think that's something I have to get better at is just like making sure I find ways to like get outside and like, but do it in a safe manner. I don't know if you had any, like you said, you go flying, like that's so sick. Like I don't have that luxury. But like, you know, I try and do my baseball stuff, which obviously helps, but-",1003,[],empathy,0.895036666,-0.068577125,0.140616107
Speaker 2,13:31,Yeah. Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,13:32,"... and we do that so many times a day. I do need to find like a, another hobby or something. I don't know.",1003,[],empathy,0.950555725,-0.042249667,0.190119742
Speaker 2,13:38,"Yeah. Um, hmm, definitely getting outside is like the, a very good way to approach it. Um, even if it's just like a walk or a jog or whatever. I also play spikeball a lot, I'm a big fan of spike ball. So if you guys ain't having that, you should look into it. I'm sure-",1003,[],empathy,0.937906526,-0.052905693,0.152126599
Speaker 1,13:56,"Now, we're-",1003,[],empathy,0.803984383,-0.106982308,-0.023912218
Speaker 2,13:56,... the baseball guys would have a lot of fun with that.,1003,[],empathy,0.910130848,0.015280419,0.3011446
Speaker 1,13:58,"Yeah. We're at the beach right now. So we have, uh, so we have spikeball here. But it's just like-",1003,[],empathy,0.920850629,-0.078790995,0.118546215
Speaker 2,14:04,Okay.,1003,[],empathy,0.812721377,-0.120297631,-0.004907734
Speaker 1,14:07,"... I don't know. I think, like I, maybe it's just like a result of getting motivated. Like I feel like it's so hard to be motivated right now and it's just like, everything's so uncertain.",1003,[],empathy,0.862681686,-0.07471962,0.120898912
Speaker 2,14:15,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,14:16,"Like, it's like, what am I doing this for? Like, you know, every time, every time I've done something in my life, like I, I'm very goal oriented and I feel like you probably, you seem like you might be as well. It's like, okay, every time I've done something, like I can see the end goal. It's like, now, like there's so much uncertainty. Like I, I always feel like I control the situation. Like now I control like where my life's going. And right now-",1003,[],empathy,0.870303116,-0.029606568,0.132744161
Speaker 2,14:43,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,14:43,"... I feel like I don't have that control maybe as much as I used to. I don't know. So I think part of it's like motivation. Like if I'm at school, like I'm super motivated because I have to get everything done on time and like, I'm doing so much stuff now. It's just like, I have school and baseball. It's like, I'm not as busy. That motivation kind of slips away. I don't know.",1003,[],empathy,0.868193905,-0.043850546,0.134270268
Speaker 2,15:11,"Yeah, no, that makes sense. Uh, I don't know. I guess I don't know what you wanna do after college, I guess. Obviously something related to, uh, mechanical and aerospace, unless you plan on going to the MLB.",1003,[],empathy,0.989241883,-0.046298522,0.117986074
Speaker 1,15:24,"Uh, yeah. I'd like to play baseball.",1003,[],empathy,0.727076937,-0.016280084,0.094715999
Speaker 2,15:25,.,1003,['laugh'],empathy,NA,NA,NA
Speaker 1,15:26,It's kind of the end goal. Um-,1003,[],empathy,0.947941694,0.00994787,0.184154471
Speaker 2,15:28,"Okay. So, uh, I don't know. I guess just watching the, like the MLB or something to, to get you hyped up. I know last year, last year, what I used to do, uh, is I would go back from my room and we had a, we had a TV mounted, mounted on the wall and I would, uh, I would watch like the new Top Gun 2, the Top Gun 2 trailer, like over and over.",1003,[],empathy,0.949304956,-0.028839532,0.110202627
Speaker 1,15:55,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 2,15:56,"And be like, ""All right, guess I'll go work on my COS assignment,"" whatever.",1003,[],empathy,0.898165863,0.021044831,0.069443294
Speaker 1,15:59,.,1003,['laugh'],empathy,NA,NA,NA
Speaker 2,15:59,"I'll get to, I'll get to be a fighter pilot someday. But-",1003,[],empathy,0.840855128,-0.035121493,0.139775247
Speaker 1,16:03,Yeah. That's like-,1003,[],empathy,0.588586598,-0.057425218,0.005924401
Speaker 2,16:03,"Yeah, no, I think putting that in perspective just makes it all a lot easier.",1003,[],empathy,1.012654003,-0.056801768,0.143320634
Speaker 1,16:08,"For sure. Right. Whom do you admire the most? In what way does that person inspire you? Um, I guess I can go. So I think, I mean, it's either my dad or one of my coaches from home. I'll probably just go with my coach from home, just 'cause I talked about my dad a little bit. Like this guy, I, I think the reason I admire him so much it's because like when no one else had confidence in me, like this guy did with, with, with like baseball stuff. Like he always told me like, ""Alright, like you're gonna go big places with baseball,"" and no matter how bad, how good, like I was playing. He like literally never lost confidence in my abilities. And that's something like, and he was very vocal about it. Like he made sure that like I was, like he was confident in making sure I was confident myself. And then also he just like, excuse my language. But he's just like, doesn't give a fuck about the world. Like, like he just lifts his own life. Like, I, I, I think there's something like to admire in that by itself. Like he literally just like, does what, like granted empathy, empathy like doesn't really go along with this, but like he literally lives his life. And like, if someone tells him something's bad for him, he's like, ""It doesn't matter. Like I want to do this."" He does what he wants to do. Like, I don't know. I think he just kinda like badass.",1003,[],empathy,0.882016716,-0.040081745,0.16739322
Speaker 2,17:38,"That is cool. Yeah. I think I definitely fall into that a little bit. Uh, well the opposite of that, just thinking like, uh, like e- even in like middle school or high school and recognizing that, uh, you know, I have a lot going for me that it's easy to just be like, ""Uh, no, I'm, I'm just gonna like listen to everything that they tell me to do because it's worked out so far."" And at some point you just gotta, you just gotta go for it. Um, so, who do I admire most? I definitely admire my, uh, my freshman year Bible study leader. He was a senior. Um, and he was just like this incredibly, uh, devout guy and, uh, really down to earth. And, uh, yeah, so he was, he was a great Bible study leader, but then afterwards he, he went to go teach for a year and now he is studying philosophy at Oxford. And, uh, I was talking to him the other day and he said he is planning on, uh, like joining the Dominicans as a priest afterwards.",1003,[],empathy,0.962125846,-0.042401657,0.152786469
Speaker 1,18:44,Really?,1003,[],empathy,0.882139961,-0.21827332,0.152293084
Speaker 2,18:45,"Uh, yeah. Which is just like, obviously it's incredible, uh, uh, devotion. And then on top of that, I don't know how much you know about, uh, Catholicism, but, uh, when they become a priest, right? They vow to become celibate for the rest of their life, which is just like this guy who's like two or three years older than me. Uh, and he's like set on that. And for me, that's just like crazy. Uh-",1003,[],empathy,0.887581402,-0.009811974,0.147271381
Speaker 1,19:13,"I don't think, that's something I, I don't think I could, I could do. Um-",1003,[],empathy,0.925368677,-0.218601896,0.064912921
Speaker 2,19:17,"Yeah. Uh, it's definitely very hard for me to, for me to see myself doing.",1003,[],empathy,0.921571555,-0.059070446,0.201850478
Speaker 1,19:23,"I mean, you seem like you're a pretty religious guy, like what you said you would go to daily Bible studies and lead them and stuff. Like, me personally, I'm not very religious at all.",1003,[],empathy,0.884165623,-0.018312924,0.148646514
Speaker 2,19:33,Mm-hmm.,1003,['affirmative'],empathy,0.710427498,-0.347355476,0.008855719
Speaker 1,19:36,"But I, I can like it, I think it is very admirable because I do think like a lot of life lessons, like come from the Bible. And I think it does set like a good guideline to like, live your life. Just something like a, I had, like when I was in high school, like I'm, I'm from Tennessee originally and like-",1003,[],empathy,0.92065348,-0.043926462,0.147718016
Speaker 2,19:57,"Oh, I'm from Tennessee. I'm in Tennessee right now.",1003,[],empathy,0.793651796,-0.032355312,0.003162485
Speaker 1,19:59,Really? Where at?,1003,[],empathy,0.859676576,-0.076204076,0.080332959
Speaker 2,20:00,"Memphis, I'm in Germantown.",1003,[],empathy,0.665343134,-0.140089988,-0.057621522
Speaker 1,20:02,"I'm from, I'm from Knoxville.",1003,[],empathy,0.731525713,-0.050278194,-0.056466156
Speaker 2,20:04,"Okay, cool.",1003,[],empathy,0.619176475,-0.080267408,0.178015677
Speaker 1,20:05,"So like, but when I was in high school dude, like the, the Young Life, like, I don't know if you have the Young Life, I guess you said you're Catholic. It's not like a Catholic thing.",1003,[],empathy,0.902463008,-0.070712927,0.110684029
Speaker 2,20:15,"I think I've heard of it. Is it, is it-",1003,[],empathy,1.093314474,-0.15286059,0.10866088
Speaker 1,20:16,But-,1003,[],empathy,1.267248449,-0.165448729,0.055648292
Speaker 2,20:16,... either non-denominational or baptist?,1003,[],empathy,0.882135802,-0.097257186,-0.065104684
Speaker 1,20:18,"Yeah, I think it's baptist, but like-",1003,[],empathy,0.80699074,-0.171125366,0.012119503
Speaker 2,20:20,Okay.,1003,[],empathy,0.812721377,-0.120297631,-0.004907734
Speaker 1,20:21,"... the Young Life group was like, in my high school was so like cliquey. And like, if, like, if you didn't go to their church or if you didn't like, share the same belief as them, they would like almost shun you kind of. And I was like, ""All right, that's just not for me. Like, that's not how it should be."" Like-",1003,[],empathy,0.905002517,-0.02024646,0.154374415
Speaker 2,20:41,"No, I agree. I agree.",1003,[],empathy,0.884734413,-0.229864011,0.000705599
Speaker 1,20:42,"... and it made me like, it, it definitely pushed me away from like religion, just because of like that group, just 'cause like, I just, I was not about that. Like, I, I didn't think that if I didn't share a belief with someone, like I couldn't be friends with them. And like parents would tell their kids, like you can't be friends with like people that don't go to the same church. And like, that's just not how it should be. Like-",1003,[],empathy,0.907459764,-0.034328193,0.155553362
Speaker 2,21:05,"Yeah, no, definitely. Yeah, I, I completely agree. Um, one of my best friends at Princeton is, is from Palestine. He's my roommate, or has been since freshman year. Uh, and like completely, uh, is far away from what I believe as you, uh, could be. But, uh, yeah, no, we're still incredible friends because, uh, there's so many more things that you have in common than you probably realize.",1003,[],empathy,0.911386725,-0.046485382,0.128547165
Speaker 1,21:32,"Exactly. Um, so I guess we're done.",1003,[],empathy,0.980939249,-0.167074808,0.034420067
Speaker 2,21:38,"I guess so, yeah.",1003,[],empathy,1.044249237,-0.159649532,0.066915132
Speaker 1,0:47,Okay. Hi.,1005,[],empathy,0.632881289,-0.123492409,0.017476993
Speaker 2,0:57,Hello.,1005,[],empathy,0.384559794,-0.040770264,0.07783993
Speaker 1,0:58,How are you?,1005,[],empathy,0.802887024,-0.080340355,0.177758921
Speaker 2,0:59,I'm good. How are you?,1005,[],empathy,0.733022265,-0.106287637,0.212789144
Speaker 1,1:01,"Good. Hmm. This is like the, the questions to like fall in love. Kind of like the questions.",1005,['laugh'],empathy,0.885430241,0.03380493,0.183241439
Speaker 2,1:14,. I guess it's match made then.,1005,['laugh'],empathy,1.002239849,-0.11414858,0.09111721
Speaker 1,1:16,. Hmm.,1005,['laugh'],empathy,0.871560258,-0.367879644,-0.057847513
Speaker 2,1:18,So which one do you wanna start with?,1005,[],empathy,1.010032928,-0.035532897,0.172323843
Speaker 1,1:21,Whatever you want. Do you wanna just go down the list? Is that still fine?,1005,[],empathy,0.912366178,-0.048522988,0.124779654
Speaker 2,1:25,"Yeah. Yeah, sure. Okay. And so-",1005,[],empathy,0.929231526,-0.093982896,0.079940839
Speaker 1,1:28,I think that these are deep. Okay.,1005,[],empathy,0.86191939,-0.146309646,0.123119844
Speaker 2,1:32,"Um, I wish I had someone with whom I could share, um, I wanna say the L word, but I'm gonna say toys.",1005,[],empathy,0.847586768,-0.072650001,0.153796888
Speaker 1,1:49,. Okay. Why? What kind of toys?,1005,['laugh'],empathy,0.857068011,-0.016982031,0.225521993
Speaker 2,1:55,"Um, I guess I'm thinking about like mementos.",1005,[],empathy,0.914048863,-0.141608514,0.06648415
Speaker 1,1:59,Mm-hmm.,1005,['affirmative'],empathy,0.710427498,-0.347355476,0.008855719
Speaker 2,1:59,"You know, 'cause I think I really like having a, a great time and just like remembering it for a while. 'Cause I feel like when, when I go to college, there's like these periods where I'm just working for a long time and not really engaging in social activities for a while. And then-",1005,[],empathy,0.94053432,-0.063694682,0.183119918
Speaker 1,2:17,Mm-hmm.,1005,['affirmative'],empathy,0.710427498,-0.347355476,0.008855719
Speaker 2,2:17,... there are these like small break periods where things get really good. And then it's kind of like a cycle.,1005,[],empathy,0.852389169,-0.048971677,0.196530771
Speaker 1,2:23,Yeah. Hmm.,1005,[],empathy,0.816636033,-0.280225558,-0.050089685
Speaker 2,2:26,How about you?,1005,[],empathy,1.015898984,-0.066397714,0.185989674
Speaker 1,2:27,"Trying to think of what, I mean, the first thing that like I thought of was like, I'm not sure, I don't know. I thought of a dog, which I could have someone to share a dog with. I feel like it's, I guess that's kind of what, like, parents do. Like a lot of people just like adopt a dog before they have kids. I don't know.",1005,['laugh'],empathy,0.940679619,-0.061663139,0.167545194
Speaker 2,2:47,Hmm.,1005,[],empathy,0.871560258,-0.367879644,-0.057847513
Speaker 1,2:48,I feel that's like a bonding experience I haven't had besides my family. Yeah.,1005,[],empathy,0.703803008,-0.075145769,0.199845578
Speaker 2,2:53,"Definitely. I mean, but you can't choose dog 'cause it's not four letters.",1005,[],empathy,0.838702422,-0.066684041,0.084393885
Speaker 1,2:57,"Oh, it has to be four letters.",1005,[],empathy,0.861039255,-0.010571754,0.165786192
Speaker 2,3:00,". No, I'm joking. I don't care. It's just, there's more. Yeah. Dog is cool. Definitely could foster really good relationship through a dog.",1005,['laugh'],empathy,0.766361026,-0.071643614,0.172934909
Speaker 1,3:10,Yeah.,1005,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 2,3:10,Do you have a dog?,1005,[],empathy,0.86386598,-0.039552221,0.176757218
Speaker 1,3:12,"Yeah I do. Um, she's a mini golden doodle. So-",1005,[],empathy,0.799603849,-0.094815391,0.077561267
Speaker 2,3:16,Oh wow.,1005,[],empathy,0.316084894,0.073949228,0.176108623
Speaker 1,3:16,Yeah. She's eight.,1005,[],empathy,0.668087895,-0.049080519,0.050017653
Speaker 2,3:20,"Cool. Are you, um, living at home? Or are you-",1005,[],empathy,0.756152545,-0.049946223,0.134921467
Speaker 1,3:23,"No, I'm at the beach right now. So I'm with like some friends, um, at Long Beach Island.",1005,[],empathy,0.763582218,-0.004413889,0.103578023
Speaker 2,3:30,"Doing experiments at the beach, huh?",1005,[],empathy,0.922737225,-0.0515317,0.066740645
Speaker 1,3:31,Experiments at the beach. Yeah. 'Cause I'm doing this for class. Um.,1005,[],empathy,0.914031344,-0.06991052,0.088236282
Speaker 2,3:37,Yeah. Are you a psych major?,1005,[],empathy,0.804933034,-0.125740821,0.033055738
Speaker 1,3:38,"No, I'm like a, uh, SPA major.",1005,[],empathy,0.70347971,-0.060831618,0.008425743
Speaker 2,3:44,What's that?,1005,[],empathy,1.328511295,-0.063788003,0.319034901
Speaker 1,3:45,Public policy.,1005,[],empathy,1.09253954,0.193804134,-0.08863894
Speaker 2,3:46,Oh cool. Cool.,1005,[],empathy,0.471885918,-0.025939357,0.198701989
Speaker 1,3:48,International affairs. Yeah. How about you?,1005,[],empathy,0.920331823,-0.040084206,0.06273449
Speaker 2,3:50,"Yeah, I'm a psych major. We have to do like four of these for the, um, the requirement. Every time we take a psych class.",1005,[],empathy,0.933920515,-0.047436862,0.132367607
Speaker 1,3:58,"Yeah. Same. So I'm taking a psych class this semester, which is why I'm doing these. Yeah.",1005,[],empathy,0.968691723,-0.134460602,0.060366752
Speaker 2,4:04,"Yeah. Well that's cool. Why are you at the, I mean like, why are you at the beach? Isn't it like a weekday?",1005,[],empathy,0.880867514,-0.095440663,0.125233133
Speaker 1,4:11,"No, I'm like, I rented a house at the beach for the semester.",1005,[],empathy,0.850746541,-0.065582827,0.098416513
Speaker 2,4:14,"Oh, you're li- you're living there. Oh, that's awesome.",1005,[],empathy,0.567588103,-0.068639134,0.068546509
Speaker 1,4:17,"Yeah. So for the, for two months we rented a house.",1005,[],empathy,1.019377108,-0.068107662,0.168127857
Speaker 2,4:22,"That's, that's awesome. You know, you have roommates and stuff?",1005,[],empathy,0.7294073,-0.007709805,0.15413089
Speaker 1,4:24,Mm-hmm. Yeah. It's five girls from Princeton. Um.,1005,['affirmative'],empathy,0.725065552,-0.086223287,0.037050756
Speaker 2,4:28,That's cool.,1005,[],empathy,0.517748407,-0.076662161,0.160794634
Speaker 1,4:29,Yeah. Are you home?,1005,[],empathy,0.742480149,-0.030991789,0.166634758
Speaker 2,4:31,"Yeah, I'm home.",1005,[],empathy,0.616935277,-0.017759487,0.081027516
Speaker 1,4:32,How?,1005,[],empathy,0.772324801,0.046200648,0.045529981
Speaker 2,4:33,"I live close to Princeton though. I'm planning on, uh, visiting this weekend. See my boys and stuff.",1005,[],empathy,1.002847117,0.030304785,0.106225916
Speaker 1,4:38,"Yeah, I know. I, I hope we'll be back in the spring, but-",1005,[],empathy,0.828606772,-0.081584966,0.198127027
